liban,lumiban,lumiliban,liliban,nilibanan,nililibanan,lilibanan
tawid,tumawid,tumatawid,tatawid,tinawid,tinatawid,tatawirin
iyak,umiyak,umiiyak,iiyak,iniyakan,iniiyakan,iiyakan
gamot,gumamot,gumagamot,gagamot,ginamot,ginagamot,gagamutin
hiwa',naghiwa',naghihiwa',maghihiwa',hiniwa',hinihiwa',hihiwain'
tatad,nagtadtad,nagtatadtad,magtatadtad,tinadtad,tinatadtad,tatadtarin
gayat,naggayat,naggagayat,maggagayat,ginayat,ginagayat,gagayatin
gupit,naggupit,naggugupit,maggugupit,ginupit,ginugupit,gugupitin
sibak,nagsibak,nagsisibak,magsisibak,sinibak,sinisibak,sisibakin
pugot,nagpugot,nagpupugot,magpupugot,pinugot,pinupugot,pupugutan
tanggal,nagtanggal,nagtatanggal,magtatanggal,tinanggal,tinatanggal,tatanggalin
sayaw,sumayaw,sumasayaw,sasayaw,sinayaw,sinasayaw,sasayawin
linlang,nanglinlang,nanlilinlang,manlilinlang,nilinlang,nililinlang,lilinlangin
unlad,umunlad,umuunlad,uunlad,inunlad,inuunlad,uunlarin
patay,namatay,namamatay,mamamatay,pinatay,pinapatay,papatayin
